feature,importance
total_bytes,0.14781838588743934
src_bytes,0.13233056190276696
byte_ratio,0.10167706859992189
bytes_per_second,0.07762184837655763
dst_bytes,0.07733293206929873
flag,0.04921987203367735
dst_host_same_srv_rate,0.04184069439433762
dst_host_srv_count,0.03907688746365423
protocol_type,0.032106957160616775
diff_srv_rate,0.03190048983272789
logged_in,0.03101250370834476
same_srv_rate,0.029069339514128836
count,0.02644195286041035
dst_host_diff_srv_rate,0.020199425976999974
dst_host_srv_diff_host_rate,0.019164356117099397
dst_host_same_src_port_rate,0.018940879680330466
service,0.018890731043466447
srv_count,0.01367426721218214
dst_host_count,0.013281978168330242
serror_rate,0.011267574005373572
